frase,empathy,assertiveness,tone
"Boy, esse serviço ficou massa demais, deu gosto de acompanhar o trampo.",Alto,Alto,Amigável
"Oxente, tua sacada foi estribada, resolveu o problema numa boa.",Alto,Alto,Amigável
"Galado, tu mandou ver, tá difícil achar erro nesse trampo.",Alto,Alto,Amigável
"Pantim nada de atenção, cê me deixou encucado com essa demora.",Médio,Alto,Neutro
"Visse, tu chegou estribado e resolveu o pepino mais rápido que eu esperava.",Alto,Alto,Amigável
"Boy, tu tá é massa demais, cada vez melhora mais nesse jeito teu.",Alto,Alto,Amigável
"Oxe, fiquei bolado com a bagunça, mas agora tá redondinho, visse?",Alto,Alto,Amigável
"Galado, se todo mundo fosse desse jeito, o trabalho ia fluir lisinho.",Alto,Alto,Amigável
"Pantim, essa ideia tua foi arretada, curti demais a solução.",Alto,Alto,Amigável
"Visse, esse jeito tabacudo de falar quase me deixou encucado, mas deu pra sacar.",Baixo,Médio,Agressivo
"Boy, teu cuidado com os detalhes deixou tudo estribado e organizado.",Alto,Alto,Amigável
"Oxente, tua atenção evitou um pantim danado, agora tá massa demais.",Alto,Alto,Amigável
"Galado, continue assim que o serviço vai ficar sempre redondinho e sem aperreio.",Alto,Alto,Amigável
"Fiquei arretado com esse pantim todo, parecia que ninguém pensou direito.",Baixo,Médio,Neutro
"Esse rolo que cê deixou atrasou geral, visse, agora vamo correr atrás.",Médio,Alto,Neutro
"Não sei como tu faz, boy, mas sempre arruma um jeito de bagunçar tudo.",Baixo,Alto,Agressivo
"O serviço ficou estribado, galado, mas deu trabalho ajeitar o que tu fez.",Médio,Médio,Amigável
Cada detalhe que cê ignorou virou um aperreio enorme pra todo mundo.,Médio,Médio,Neutro
"Tô bolado com esse atraso, parecia até que cê não se ligava no combinado.",Alto,Médio,Amigável
"A confusão que tu deixou aqui quase me deixou encabulado, visse.",Alto,Alto,Neutro
"Boy, tua solução foi massa demais, resolveu o pepino rapidinho.",Alto,Alto,Amigável
"Fiquei encucado, galado, porque ninguém entendia nada do que tava acontecendo.",Alto,Alto,Neutro
"Pantim desse jeito só atrapalha, visse, precisamos organizar melhor.",Alto,Alto,Amigável
"Não é sempre que alguém faz tão estribado, tu mandou bem demais.",Alto,Alto,Amigável
"Oxe, depois desse aperreio todo, agora o serviço tá redondinho.",Alto,Alto,Amigável
"Curti demais como tu resolveu sem estresse, boy, ficou massa.",Alto,Alto,Amigável
"Fiquei bolado com a enrolação, mas no fim deu tudo certo.",Alto,Alto,Amigável
"Galado, cada vez que tu se dedica, o trampo fica mais ajeitado.",Alto,Alto,Amigável
"Pantim, essa tua atenção salvou o dia, visse, foi arretado.",Alto,Alto,Amigável
"O serviço que cê entregou tá estribado, deu gosto de acompanhar.",Alto,Alto,Amigável
"Não sabia se ria ou se ficava bolado com tanta confusão, visse.",Médio,Alto,Neutro
"Boy, tua postura nesse trampo foi massa demais, bem tranquila.",Alto,Alto,Amigável
"Oxe, pensei que ia dar problema, mas cê ajeitou rapidinho.",Alto,Alto,Amigável
"Fiquei encabulado com o jeito tabacudo de resolver, mas deu certo.",Médio,Alto,Agressivo
"Pantim, cê evitou que a coisa piorasse, visse, muito bom.",Alto,Alto,Amigável
"Cada detalhe que tu conferiu fez diferença, galado, tá redondinho.",Alto,Alto,Amigável
"Não é qualquer um que resolve assim sem criar mais aperreio, boy.",Alto,Alto,Amigável
"Fiquei arretado com o atraso, mas tua solução foi massa.",Alto,Alto,Amigável
"Galado, cê tá cada vez melhor, resolvendo rápido sem estresse.",Alto,Alto,Amigável
"Oxe, visse, essa confusão podia ter sido evitada se todo mundo prestasse atenção.",Baixo,Alto,Neutro
"Pantim, tua ideia clareou o que parecia perdido, arretado demais.",Alto,Alto,Amigável
"Boy, fiquei encucado no começo, mas teu jeito ajeitou a situação.",Alto,Alto,Amigável
"Curti demais como tu organizou tudo sem aperreio, visse.",Alto,Alto,Amigável
"Fiquei bolado, mas agora tá estribado, cê salvou o trampo.",Alto,Médio,Neutro
"Galado, cada sacada tua ajuda a gente a não ficar no pantim.",Alto,Alto,Amigável
"Oxe, que jeito massa de resolver, visse, sem precisar gritar.",Alto,Alto,Amigável
"Boy, tua dedicação fez a diferença, ficou tudo redondinho.",Alto,Alto,Amigável
"Pantim, quase perdi a paciência, mas cê conseguiu ajeitar.",Alto,Alto,Amigável
"Fiquei encabulado com o tabacudo da situação, mas deu certo.",Médio,Médio,Agressivo
"Galado, cê mandou ver, agora tá tudo sob controle.",Alto,Alto,Amigável
"Oxe, visse, esse jeito de lidar com o aperreio é massa demais.",Alto,Alto,Amigável
"Boy, a solução que cê trouxe evitou mais bagunça ainda.",Alto,Alto,Amigável
"Pantim, no meio do caos, tu trouxe clareza, arretado.",Alto,Alto,Amigável
